"Total drug use deaths by Selected drug class"
"Selected drug class","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Opioid","1997-1998","7.9","7.4","8.4"
"Opioid","1998-1999","9.0","8.5","9.6"
"Opioid","1999-2000","8.1","7.6","8.6"
"Opioid","2000-2001","5.6","5.2","6.0"
"Opioid","2001-2002","3.7","3.3","4.0"
"Opioid","2002-2003","3.2","2.9","3.5"
"Opioid","2003-2004","3.0","2.7","3.3"
"Opioid","2004-2005","3.0","2.7","3.3"
"Opioid","2005-2006","3.0","2.7","3.3"
"Opioid","2006-2007","3.1","2.9","3.5"
"Opioid","2007-2008","3.6","3.2","3.9"
"Opioid","2008-2009","3.8","3.5","4.2"
"Opioid","2009-2010","3.8","3.5","4.1"
"Opioid","2010-2011","3.7","3.4","4.0"
"Opioid","2011-2012","4.2","3.8","4.5"
"Opioid","2012-2013","4.6","4.2","4.9"
"Opioid","2013-2014","5.1","4.7","5.4"
"Opioid","2014-2015","5.7","5.3","6.1"
"Opioid","2015-2016","5.8","5.4","6.2"
"Opioid","2016-2017","6.3","5.9","6.7"
"Opioid","2017-2018","6.2","5.8","6.6"
"Opioid","2018-2019","5.4","5.1","5.8"
"Psychostimulants","1997-1998","0.7","0.6","0.8"
"Psychostimulants","1998-1999","0.9","0.8","1.1"
"Psychostimulants","1999-2000","1.0","0.8","1.2"
"Psychostimulants","2000-2001","1.0","0.8","1.1"
"Psychostimulants","2001-2002","0.8","0.7","1.0"
"Psychostimulants","2002-2003","0.7","0.5","0.8"
"Psychostimulants","2003-2004","0.7","0.5","0.8"
"Psychostimulants","2004-2005","0.8","0.6","0.9"
"Psychostimulants","2005-2006","0.9","0.7","1.1"
"Psychostimulants","2006-2007","0.8","0.6","0.9"
"Psychostimulants","2007-2008","0.8","0.6","0.9"
"Psychostimulants","2008-2009","0.8","0.6","0.9"
"Psychostimulants","2009-2010","0.8","0.6","0.9"
"Psychostimulants","2010-2011","0.9","0.7","1.1"
"Psychostimulants","2011-2012","1.2","1.0","1.4"
"Psychostimulants","2012-2013","1.4","1.2","1.6"
"Psychostimulants","2013-2014","1.5","1.3","1.7"
"Psychostimulants","2014-2015","2.1","1.9","2.4"
"Psychostimulants","2015-2016","3.0","2.7","3.3"
"Psychostimulants","2016-2017","3.8","3.5","4.2"
"Psychostimulants","2017-2018","3.8","3.5","4.1"
"Psychostimulants","2018-2019","3.7","3.4","4.0"
"Hallucinogens","1997-1998","0.6","0.5","0.8"
"Hallucinogens","1998-1999","0.6","0.5","0.8"
"Hallucinogens","1999-2000","0.4","0.3","0.6"
"Hallucinogens","2000-2001","0.3","0.2","0.4"
"Hallucinogens","2001-2002","0.2","0.2","0.3"
"Hallucinogens","2002-2003","0.2","0.1","0.3"
"Hallucinogens","2003-2004","0.3","0.2","0.4"
"Hallucinogens","2004-2005","0.3","0.2","0.4"
"Hallucinogens","2005-2006","0.3","0.2","0.4"
"Hallucinogens","2006-2007","0.3","0.2","0.5"
"Hallucinogens","2007-2008","0.3","0.2","0.4"
"Hallucinogens","2008-2009","0.4","0.3","0.5"
"Hallucinogens","2009-2010","0.4","0.3","0.5"
"Hallucinogens","2010-2011","0.4","0.3","0.5"
"Hallucinogens","2011-2012","0.6","0.5","0.8"
"Hallucinogens","2012-2013","1.3","1.2","1.6"
"Hallucinogens","2013-2014","1.8","1.6","2.0"
"Hallucinogens","2014-2015","2.1","1.8","2.3"
"Hallucinogens","2015-2016","2.6","2.4","2.9"
"Hallucinogens","2016-2017","3.4","3.1","3.7"
"Hallucinogens","2017-2018","3.7","3.4","4.0"
"Hallucinogens","2018-2019","3.5","3.2","3.8"
"Psychotropic","1997-1998","1.8","1.6","2.1"
"Psychotropic","1998-1999","2.0","1.8","2.3"
"Psychotropic","1999-2000","2.0","1.8","2.3"
"Psychotropic","2000-2001","1.6","1.4","1.8"
"Psychotropic","2001-2002","1.3","1.1","1.5"
"Psychotropic","2002-2003","1.2","1.0","1.4"
"Psychotropic","2003-2004","1.2","1.0","1.4"
"Psychotropic","2004-2005","1.1","0.9","1.3"
"Psychotropic","2005-2006","1.4","1.2","1.6"
"Psychotropic","2006-2007","1.6","1.4","1.8"
"Psychotropic","2007-2008","1.6","1.4","1.8"
"Psychotropic","2008-2009","1.6","1.4","1.8"
"Psychotropic","2009-2010","1.6","1.4","1.8"
"Psychotropic","2010-2011","1.7","1.5","1.9"
"Psychotropic","2011-2012","1.9","1.7","2.2"
"Psychotropic","2012-2013","2.7","2.4","3.0"
"Psychotropic","2013-2014","3.3","3.0","3.6"
"Psychotropic","2014-2015","3.8","3.5","4.1"
"Psychotropic","2015-2016","4.1","3.7","4.4"
"Psychotropic","2016-2017","4.6","4.2","4.9"
"Psychotropic","2017-2018","4.9","4.6","5.3"
"Psychotropic","2018-2019","4.8","4.4","5.1"
"Non-opioid analgestic and antirheumatic","1997-1998","1.0","0.8","1.2"
"Non-opioid analgestic and antirheumatic","1998-1999","0.9","0.7","1.1"
"Non-opioid analgestic and antirheumatic","1999-2000","0.7","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2000-2001","0.7","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2001-2002","0.6","0.5","0.8"
"Non-opioid analgestic and antirheumatic","2002-2003","0.6","0.5","0.7"
"Non-opioid analgestic and antirheumatic","2003-2004","0.5","0.4","0.6"
"Non-opioid analgestic and antirheumatic","2004-2005","0.4","0.3","0.5"
"Non-opioid analgestic and antirheumatic","2005-2006","0.5","0.4","0.7"
"Non-opioid analgestic and antirheumatic","2006-2007","0.7","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2007-2008","0.8","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2008-2009","0.8","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2009-2010","0.8","0.7","1.0"
"Non-opioid analgestic and antirheumatic","2010-2011","0.9","0.7","1.1"
"Non-opioid analgestic and antirheumatic","2011-2012","0.9","0.7","1.0"
"Non-opioid analgestic and antirheumatic","2012-2013","0.8","0.6","0.9"
"Non-opioid analgestic and antirheumatic","2013-2014","0.7","0.6","0.8"
"Non-opioid analgestic and antirheumatic","2014-2015","0.8","0.7","1.0"
"Non-opioid analgestic and antirheumatic","2015-2016","1.0","0.9","1.2"
"Non-opioid analgestic and antirheumatic","2016-2017","1.3","1.2","1.5"
"Non-opioid analgestic and antirheumatic","2017-2018","1.6","1.4","1.8"
"Non-opioid analgestic and antirheumatic","2018-2019","1.4","1.2","1.6"
"Sedative-hypnotics, antiepileptics and antiparkinson","1997-1998","2.7","2.4","3.0"
"Sedative-hypnotics, antiepileptics and antiparkinson","1998-1999","3.1","2.8","3.4"
"Sedative-hypnotics, antiepileptics and antiparkinson","1999-2000","2.8","2.5","3.1"
"Sedative-hypnotics, antiepileptics and antiparkinson","2000-2001","2.2","2.0","2.5"
"Sedative-hypnotics, antiepileptics and antiparkinson","2001-2002","1.9","1.7","2.1"
"Sedative-hypnotics, antiepileptics and antiparkinson","2002-2003","1.6","1.4","1.9"
"Sedative-hypnotics, antiepileptics and antiparkinson","2003-2004","1.6","1.4","1.9"
"Sedative-hypnotics, antiepileptics and antiparkinson","2004-2005","1.5","1.3","1.7"
"Sedative-hypnotics, antiepileptics and antiparkinson","2005-2006","1.4","1.3","1.7"
"Sedative-hypnotics, antiepileptics and antiparkinson","2006-2007","1.7","1.5","1.9"
"Sedative-hypnotics, antiepileptics and antiparkinson","2007-2008","1.8","1.6","2.0"
"Sedative-hypnotics, antiepileptics and antiparkinson","2008-2009","1.8","1.6","2.1"
"Sedative-hypnotics, antiepileptics and antiparkinson","2009-2010","2.2","2.0","2.5"
"Sedative-hypnotics, antiepileptics and antiparkinson","2010-2011","2.6","2.3","2.8"
"Sedative-hypnotics, antiepileptics and antiparkinson","2011-2012","2.9","2.6","3.2"
"Sedative-hypnotics, antiepileptics and antiparkinson","2012-2013","3.1","2.8","3.4"
"Sedative-hypnotics, antiepileptics and antiparkinson","2013-2014","3.2","2.9","3.5"
"Sedative-hypnotics, antiepileptics and antiparkinson","2014-2015","3.4","3.1","3.7"
"Sedative-hypnotics, antiepileptics and antiparkinson","2015-2016","3.6","3.3","3.9"
"Sedative-hypnotics, antiepileptics and antiparkinson","2016-2017","4.2","3.9","4.6"
"Sedative-hypnotics, antiepileptics and antiparkinson","2017-2018","4.2","3.9","4.5"
"Sedative-hypnotics, antiepileptics and antiparkinson","2018-2019","3.5","3.3","3.9"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102985 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"Total drug deaths include all deaths where the ICD-10 codes listed are cited as either the underlying cause of death (i.e. drug-induced) or an associated cause of death (i.e. drug-related; and not drug-induced). This measures the burden related to drug use where the underlying cause may be directly or indirectly associated with drug use. Reports from other groups (including the Australian Bureau of Statistics) only include deaths directly associated with drug use."
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"The ABS undertake a revision process for coroner-certified deaths over a 3-year period. Accordingly, causes of death data for the two most recent years reported are preliminary and subject to two further revisions; data for the third most recent year are revised and subject to another revision; data for earlier years are final."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Dimensions/Variables"
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
