"Total drug use deaths by Alcohol use"
"Alcohol use","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"With alcohol","1997","1.7","1.4","2.0"
"With alcohol","1998","1.8","1.4","2.1"
"With alcohol","1999","2.0","1.7","2.4"
"With alcohol","2000","1.5","1.2","1.9"
"With alcohol","2001","1.1","0.8","1.3"
"With alcohol","2002","1.3","1.0","1.6"
"With alcohol","2003","1.1","0.9","1.4"
"With alcohol","2004","1.0","0.8","1.3"
"With alcohol","2005","0.8","0.6","1.1"
"With alcohol","2006","1.1","0.8","1.3"
"With alcohol","2007","1.4","1.1","1.7"
"With alcohol","2008","1.7","1.4","2.0"
"With alcohol","2009","1.6","1.3","1.9"
"With alcohol","2010","1.7","1.4","2.0"
"With alcohol","2011","1.4","1.2","1.7"
"With alcohol","2012","1.9","1.6","2.3"
"With alcohol","2013","2.2","1.9","2.6"
"With alcohol","2014","2.5","2.2","2.9"
"With alcohol","2015","3.0","2.6","3.4"
"With alcohol","2016","2.4","2.1","2.8"
"With alcohol","2017","3.2","2.8","3.7"
"With alcohol","2018","2.9","2.5","3.3"
"With alcohol","2019","3.1","2.7","3.5"
"Without alcohol","1997","8.3","7.6","9.1"
"Without alcohol","1998","11.1","10.3","11.9"
"Without alcohol","1999","10.2","9.4","11.0"
"Without alcohol","2000","8.4","7.7","9.2"
"Without alcohol","2001","6.6","6.0","7.3"
"Without alcohol","2002","4.8","4.3","5.4"
"Without alcohol","2003","5.1","4.5","5.6"
"Without alcohol","2004","4.9","4.4","5.5"
"Without alcohol","2005","5.3","4.8","5.9"
"Without alcohol","2006","5.5","4.9","6.1"
"Without alcohol","2007","6.2","5.6","6.8"
"Without alcohol","2008","6.3","5.7","6.9"
"Without alcohol","2009","6.1","5.6","6.7"
"Without alcohol","2010","6.4","5.8","7.0"
"Without alcohol","2011","6.5","5.9","7.1"
"Without alcohol","2012","7.6","6.9","8.2"
"Without alcohol","2013","8.4","7.7","9.1"
"Without alcohol","2014","9.3","8.6","10.0"
"Without alcohol","2015","9.3","8.6","10.0"
"Without alcohol","2016","10.4","9.7","11.2"
"Without alcohol","2017","11.3","10.6","12.1"
"Without alcohol","2018","9.6","8.9","10.3"
"Without alcohol","2019","10.0","9.3","10.7"
"Total","1997","10.0","9.2","10.8"
"Total","1998","12.8","12.0","13.7"
"Total","1999","12.1","11.3","13.0"
"Total","2000","10.0","9.2","10.8"
"Total","2001","7.7","7.0","8.4"
"Total","2002","6.1","5.5","6.7"
"Total","2003","6.2","5.6","6.8"
"Total","2004","5.9","5.3","6.5"
"Total","2005","6.1","5.6","6.8"
"Total","2006","6.5","5.9","7.2"
"Total","2007","7.6","6.9","8.2"
"Total","2008","8.0","7.4","8.7"
"Total","2009","7.7","7.0","8.4"
"Total","2010","8.1","7.4","8.8"
"Total","2011","7.9","7.3","8.6"
"Total","2012","9.5","8.8","10.2"
"Total","2013","10.6","9.9","11.4"
"Total","2014","11.9","11.1","12.7"
"Total","2015","12.3","11.5","13.1"
"Total","2016","12.8","12.0","13.7"
"Total","2017","14.6","13.7","15.4"
"Total","2018","12.5","11.7","13.3"
"Total","2019","13.0","12.2","13.8"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102987 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"Total drug deaths include all deaths where the ICD-10 codes listed are cited as either the underlying cause of death (i.e. drug-induced) or an associated cause of death (i.e. drug-related; and not drug-induced). This measures the burden related to drug use where the underlying cause may be directly or indirectly associated with drug use. Reports from other groups (including the Australian Bureau of Statistics) only include deaths directly associated with drug use."
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"The ABS undertake a revision process for coroner-certified deaths over a 3-year period. Accordingly, causes of death data for the two most recent years reported are preliminary and subject to two further revisions; data for the third most recent year are revised and subject to another revision; data for earlier years are final."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Dimensions/Variables"
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
