"Mental Health related Emergency Department visits by Age (years) and Presentation type for Persons"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"11 years and under","Self-harm or suicidal thoughts","Persons","14/15","13.4","11.4","15.7"
"11 years and under","Self-harm or suicidal thoughts","Persons","15/16","15.4","13.3","17.9"
"11 years and under","Self-harm or suicidal thoughts","Persons","16/17","21.7","19.1","24.5"
"11 years and under","Self-harm or suicidal thoughts","Persons","17/18","23.9","21.2","26.8"
"11 years and under","Self-harm or suicidal thoughts","Persons","18/19","29.9","26.9","33.2"
"11 years and under","Self-harm or suicidal thoughts","Persons","19/20","32.9","29.8","36.3"
"11 years and under","Self-harm or suicidal thoughts","Persons","20/21","38.8","35.4","42.4"
"11 years and under","Other mental health presentations","Persons","14/15","80.5","75.4","85.9"
"11 years and under","Other mental health presentations","Persons","15/16","96.6","91.1","102.4"
"11 years and under","Other mental health presentations","Persons","16/17","90.3","85.0","95.9"
"11 years and under","Other mental health presentations","Persons","17/18","97.0","91.5","102.7"
"11 years and under","Other mental health presentations","Persons","18/19","105.8","100.1","111.8"
"11 years and under","Other mental health presentations","Persons","19/20","108.8","103.0","114.9"
"11 years and under","Other mental health presentations","Persons","20/21","126.5","120.2","133.0"
"11 years and under","Total mental health presentations","Persons","14/15","93.9","88.4","99.7"
"11 years and under","Total mental health presentations","Persons","15/16","112.1","106.1","118.3"
"11 years and under","Total mental health presentations","Persons","16/17","112.0","106.1","118.2"
"11 years and under","Total mental health presentations","Persons","17/18","120.9","114.8","127.3"
"11 years and under","Total mental health presentations","Persons","18/19","135.7","129.2","142.4"
"11 years and under","Total mental health presentations","Persons","19/20","141.8","135.1","148.6"
"11 years and under","Total mental health presentations","Persons","20/21","165.3","158.1","172.7"
"12-17 years","Self-harm or suicidal thoughts","Persons","14/15","1,255.7","1,225.9","1,285.9"
"12-17 years","Self-harm or suicidal thoughts","Persons","15/16","1,430.3","1,398.6","1,462.6"
"12-17 years","Self-harm or suicidal thoughts","Persons","16/17","1,564.2","1,531.1","1,597.8"
"12-17 years","Self-harm or suicidal thoughts","Persons","17/18","1,703.0","1,668.6","1,737.9"
"12-17 years","Self-harm or suicidal thoughts","Persons","18/19","1,835.4","1,799.9","1,871.5"
"12-17 years","Self-harm or suicidal thoughts","Persons","19/20","1,865.5","1,830.0","1,901.6"
"12-17 years","Self-harm or suicidal thoughts","Persons","20/21","2,511.9","2,471.0","2,553.3"
"12-17 years","Other mental health presentations","Persons","14/15","848.9","824.4","873.8"
"12-17 years","Other mental health presentations","Persons","15/16","867.5","842.8","892.7"
"12-17 years","Other mental health presentations","Persons","16/17","888.1","863.2","913.6"
"12-17 years","Other mental health presentations","Persons","17/18","849.6","825.3","874.4"
"12-17 years","Other mental health presentations","Persons","18/19","889.7","865.0","915.0"
"12-17 years","Other mental health presentations","Persons","19/20","882.6","858.2","907.5"
"12-17 years","Other mental health presentations","Persons","20/21","1,106.7","1,079.7","1,134.3"
"12-17 years","Total mental health presentations","Persons","14/15","2,104.5","2,066.0","2,143.6"
"12-17 years","Total mental health presentations","Persons","15/16","2,297.8","2,257.6","2,338.6"
"12-17 years","Total mental health presentations","Persons","16/17","2,452.3","2,410.8","2,494.4"
"12-17 years","Total mental health presentations","Persons","17/18","2,552.6","2,510.4","2,595.3"
"12-17 years","Total mental health presentations","Persons","18/19","2,725.2","2,681.8","2,769.1"
"12-17 years","Total mental health presentations","Persons","19/20","2,748.1","2,704.9","2,791.8"
"12-17 years","Total mental health presentations","Persons","20/21","3,618.6","3,569.5","3,668.2"
"18-24 years","Self-harm or suicidal thoughts","Persons","14/15","1,191.1","1,165.8","1,216.8"
"18-24 years","Self-harm or suicidal thoughts","Persons","15/16","1,329.4","1,302.8","1,356.4"
"18-24 years","Self-harm or suicidal thoughts","Persons","16/17","1,438.9","1,411.4","1,466.9"
"18-24 years","Self-harm or suicidal thoughts","Persons","17/18","1,497.5","1,469.7","1,525.8"
"18-24 years","Self-harm or suicidal thoughts","Persons","18/19","1,622.1","1,593.4","1,651.2"
"18-24 years","Self-harm or suicidal thoughts","Persons","19/20","1,724.4","1,694.9","1,754.2"
"18-24 years","Self-harm or suicidal thoughts","Persons","20/21","1,872.1","1,840.9","1,903.7"
"18-24 years","Other mental health presentations","Persons","14/15","1,193.2","1,167.9","1,218.9"
"18-24 years","Other mental health presentations","Persons","15/16","1,265.3","1,239.4","1,291.7"
"18-24 years","Other mental health presentations","Persons","16/17","1,241.1","1,215.5","1,267.0"
"18-24 years","Other mental health presentations","Persons","17/18","1,173.3","1,148.7","1,198.3"
"18-24 years","Other mental health presentations","Persons","18/19","1,229.6","1,204.6","1,255.0"
"18-24 years","Other mental health presentations","Persons","19/20","1,208.8","1,184.1","1,233.9"
"18-24 years","Other mental health presentations","Persons","20/21","1,252.0","1,226.5","1,277.8"
"18-24 years","Total mental health presentations","Persons","14/15","2,384.2","2,348.4","2,420.5"
"18-24 years","Total mental health presentations","Persons","15/16","2,594.7","2,557.5","2,632.4"
"18-24 years","Total mental health presentations","Persons","16/17","2,680.0","2,642.4","2,718.0"
"18-24 years","Total mental health presentations","Persons","17/18","2,670.9","2,633.6","2,708.5"
"18-24 years","Total mental health presentations","Persons","18/19","2,851.7","2,813.6","2,890.2"
"18-24 years","Total mental health presentations","Persons","19/20","2,933.2","2,894.7","2,972.1"
"18-24 years","Total mental health presentations","Persons","20/21","3,124.1","3,083.8","3,164.8"
""
"Source:"
"Summary tables of NSW Emergency Department Data Collection (EDDC), via the NSW Health Information Exchange supplied by InforMH System Information & Analytics Branch, NSW Ministry of Health"
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102988 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Summary tables of NSW Emergency Department Data Collection (EDDC), via the NSW Health Information Exchange supplied by InforMH System Information & Analytics Branch, NSW Ministry of Health"
"Inclusions & Exclusions"
"For the dimensions LHD, PHN, SES and ARIA, only NSW residents are included."
"For other views, data refer to NSW emergency department presentations regardless of the district or state of residence of the patient."
"Persons under 10 years are excluded from intentional self-harm and suicidal ideation categories."
"Includes emergency department presentation types of  'emergency presentations' and 'unplanned return visit for a continuing condition' only."
"Excludes Northern Beaches Hospital."
"Coding"
"Depending on the information system used in the emergency department at a point in time, the diagnosis recorded according to one of three classification systems: the International Classification of Diseases, 9th revision (ICD-9), the International Classification of Diseases and Related Health Problems, 10th revision (ICD-10) or the Systematised Nomenclature of MedicineClinical Terms (SNOMED-CT)."
"Details of intentional self-harm and suicidal ideation codes are available here."
"Statistical Methods"
"For the dimensions LHD, PHN, SES and ARIA, figures are based on where a person resides, not where they are treated."
"Age-specific rates were not age-adjusted."
"All other rates are crude rates.Crude rates represent an estimate of the proportion of a population that experiences an outcome during a specified period. The crude rate is calculated by dividing the number of people with an outcome in a specified period by the number at risk during that period (typically per year). The crude rate does not take into account changes in the age structure of the population studied (such as changes in the proportion of people in different age groups over time), and can be misleading when long-term trends are examined, geographic areas or sub-population are compared - because age structures of populations may vary over time, among areas or groups."
"Dimensions/Variables"
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Outer regional and remote includes very remote."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
