"Suicide by Age (years)"
"Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"15-24 years","1988","14.4","12.1","17.1"
"15-24 years","1989","12.7","10.5","15.3"
"15-24 years","1990","13.3","11.1","15.9"
"15-24 years","1991","14.4","12.1","17.1"
"15-24 years","1992","13.8","11.5","16.4"
"15-24 years","1993","11.9","9.7","14.3"
"15-24 years","1994","15.7","13.2","18.5"
"15-24 years","1995","12.2","10.0","14.7"
"15-24 years","1996","14.2","11.9","17.0"
"15-24 years","1997","20.5","17.6","23.7"
"15-24 years","1998","15.4","12.9","18.2"
"15-24 years","1999","14.0","11.7","16.8"
"15-24 years","2000","11.7","9.5","14.2"
"15-24 years","2001","10.8","8.7","13.2"
"15-24 years","2002","9.1","7.2","11.3"
"15-24 years","2003","8.2","6.4","10.3"
"15-24 years","2004","8.3","6.5","10.4"
"15-24 years","2005","7.3","5.7","9.3"
"15-24 years","2006","7.8","6.1","9.8"
"15-24 years","2007","5.9","4.4","7.7"
"15-24 years","2008","6.0","4.5","7.7"
"15-24 years","2009","6.5","5.0","8.3"
"15-24 years","2010","6.4","4.9","8.2"
"15-24 years","2011","6.3","4.8","8.1"
"15-24 years","2012","8.4","6.7","10.4"
"15-24 years","2013","8.8","7.0","10.9"
"15-24 years","2014","9.8","8.0","12.0"
"15-24 years","2015","10.8","8.8","13.1"
"15-24 years","2016","10.9","9.0","13.2"
"15-24 years","2017","12.0","9.9","14.3"
"15-24 years","2018","10.7","8.8","12.9"
"15-24 years","2019","12.5","10.4","14.8"
"25-34 years","1988","18.2","15.6","21.2"
"25-34 years","1989","19.2","16.5","22.2"
"25-34 years","1990","17.6","15.1","20.5"
"25-34 years","1991","15.3","12.9","18.0"
"25-34 years","1992","18.2","15.6","21.1"
"25-34 years","1993","15.4","13.0","18.1"
"25-34 years","1994","18.6","16.0","21.6"
"25-34 years","1995","18.6","16.0","21.6"
"25-34 years","1996","19.5","16.8","22.5"
"25-34 years","1997","24.3","21.2","27.6"
"25-34 years","1998","20.7","17.9","23.8"
"25-34 years","1999","21.2","18.4","24.3"
"25-34 years","2000","16.3","13.9","19.1"
"25-34 years","2001","17.4","14.9","20.2"
"25-34 years","2002","17.5","15.0","20.4"
"25-34 years","2003","15.3","12.9","18.0"
"25-34 years","2004","12.3","10.2","14.8"
"25-34 years","2005","11.5","9.5","13.9"
"25-34 years","2006","10.2","8.2","12.4"
"25-34 years","2007","12.5","10.3","14.9"
"25-34 years","2008","10.1","8.2","12.3"
"25-34 years","2009","11.7","9.7","14.1"
"25-34 years","2010","10.5","8.6","12.8"
"25-34 years","2011","10.8","8.9","13.1"
"25-34 years","2012","12.9","10.8","15.3"
"25-34 years","2013","10.5","8.6","12.6"
"25-34 years","2014","12.1","10.1","14.4"
"25-34 years","2015","13.0","11.0","15.3"
"25-34 years","2016","13.5","11.4","15.8"
"25-34 years","2017","14.4","12.3","16.7"
"25-34 years","2018","11.4","9.6","13.5"
"25-34 years","2019","13.9","11.9","16.2"
"35-44 years","1988","14.4","11.9","17.2"
"35-44 years","1989","15.4","12.9","18.3"
"35-44 years","1990","13.4","11.1","16.1"
"35-44 years","1991","18.2","15.5","21.2"
"35-44 years","1992","16.2","13.6","19.0"
"35-44 years","1993","15.3","12.9","18.1"
"35-44 years","1994","17.4","14.8","20.3"
"35-44 years","1995","17.5","14.9","20.4"
"35-44 years","1996","17.9","15.3","20.8"
"35-44 years","1997","17.7","15.2","20.6"
"35-44 years","1998","20.8","18.1","23.9"
"35-44 years","1999","18.8","16.2","21.7"
"35-44 years","2000","17.5","14.9","20.3"
"35-44 years","2001","17.6","15.1","20.4"
"35-44 years","2002","16.5","14.1","19.2"
"35-44 years","2003","13.6","11.4","16.1"
"35-44 years","2004","12.8","10.7","15.2"
"35-44 years","2005","11.6","9.5","13.9"
"35-44 years","2006","12.3","10.2","14.6"
"35-44 years","2007","14.1","11.9","16.7"
"35-44 years","2008","13.2","11.0","15.7"
"35-44 years","2009","13.3","11.1","15.7"
"35-44 years","2010","14.7","12.4","17.3"
"35-44 years","2011","12.2","10.1","14.6"
"35-44 years","2012","15.5","13.2","18.1"
"35-44 years","2013","13.3","11.1","15.7"
"35-44 years","2014","15.6","13.3","18.2"
"35-44 years","2015","14.8","12.5","17.3"
"35-44 years","2016","15.6","13.3","18.2"
"35-44 years","2017","17.3","14.8","20.0"
"35-44 years","2018","15.9","13.6","18.5"
"35-44 years","2019","15.0","12.8","17.5"
"45-54 years","1988","15.6","12.6","19.2"
"45-54 years","1989","14.1","11.2","17.4"
"45-54 years","1990","12.7","10.1","15.9"
"45-54 years","1991","17.3","14.2","20.8"
"45-54 years","1992","15.3","12.5","18.5"
"45-54 years","1993","15.1","12.4","18.3"
"45-54 years","1994","14.6","12.0","17.7"
"45-54 years","1995","13.9","11.4","16.9"
"45-54 years","1996","14.4","11.9","17.4"
"45-54 years","1997","18.3","15.5","21.6"
"45-54 years","1998","13.7","11.3","16.4"
"45-54 years","1999","17.0","14.3","20.0"
"45-54 years","2000","13.3","11.0","15.9"
"45-54 years","2001","17.9","15.2","20.9"
"45-54 years","2002","13.3","11.0","15.9"
"45-54 years","2003","12.1","9.9","14.6"
"45-54 years","2004","10.5","8.5","12.9"
"45-54 years","2005","11.9","9.8","14.4"
"45-54 years","2006","11.6","9.5","14.0"
"45-54 years","2007","13.1","10.9","15.6"
"45-54 years","2008","13.8","11.6","16.4"
"45-54 years","2009","13.3","11.1","15.8"
"45-54 years","2010","14.9","12.6","17.5"
"45-54 years","2011","11.9","9.9","14.3"
"45-54 years","2012","17.1","14.6","19.9"
"45-54 years","2013","13.0","10.8","15.5"
