"Total drug use deaths by Age (years)"
"Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"15-24 years","1997-1998","14.4","12.7","16.3"
"15-24 years","1998-1999","14.7","13.0","16.6"
"15-24 years","1999-2000","12.8","11.2","14.6"
"15-24 years","2000-2001","8.9","7.5","10.4"
"15-24 years","2001-2002","4.6","3.7","5.7"
"15-24 years","2002-2003","3.8","3.0","4.8"
"15-24 years","2003-2004","3.8","3.0","4.8"
"15-24 years","2004-2005","3.0","2.3","3.9"
"15-24 years","2005-2006","3.5","2.7","4.5"
"15-24 years","2006-2007","4.3","3.4","5.3"
"15-24 years","2007-2008","4.1","3.2","5.1"
"15-24 years","2008-2009","3.3","2.6","4.2"
"15-24 years","2009-2010","3.4","2.7","4.3"
"15-24 years","2010-2011","3.0","2.2","3.8"
"15-24 years","2011-2012","3.3","2.5","4.2"
"15-24 years","2012-2013","5.5","4.6","6.7"
"15-24 years","2013-2014","6.0","5.0","7.2"
"15-24 years","2014-2015","5.6","4.6","6.8"
"15-24 years","2015-2016","7.2","6.1","8.4"
"15-24 years","2016-2017","8.5","7.3","9.9"
"15-24 years","2017-2018","8.1","6.9","9.4"
"15-24 years","2018-2019","8.5","7.3","9.8"
"25-34 years","1997-1998","23.6","21.4","25.8"
"25-34 years","1998-1999","26.4","24.2","28.8"
"25-34 years","1999-2000","21.7","19.6","23.8"
"25-34 years","2000-2001","15.8","14.1","17.7"
"25-34 years","2001-2002","12.7","11.1","14.3"
"25-34 years","2002-2003","10.6","9.2","12.2"
"25-34 years","2003-2004","10.7","9.3","12.3"
"25-34 years","2004-2005","10.5","9.1","12.1"
"25-34 years","2005-2006","9.6","8.3","11.1"
"25-34 years","2006-2007","10.2","8.8","11.8"
"25-34 years","2007-2008","11.3","9.9","13.0"
"25-34 years","2008-2009","11.3","9.9","12.9"
"25-34 years","2009-2010","10.8","9.4","12.3"
"25-34 years","2010-2011","11.2","9.8","12.8"
"25-34 years","2011-2012","11.8","10.3","13.4"
"25-34 years","2012-2013","12.1","10.6","13.7"
"25-34 years","2013-2014","12.0","10.6","13.6"
"25-34 years","2014-2015","13.5","12.0","15.1"
"25-34 years","2015-2016","15.1","13.5","16.8"
"25-34 years","2016-2017","15.8","14.2","17.5"
"25-34 years","2017-2018","14.3","12.8","15.9"
"25-34 years","2018-2019","13.5","12.0","15.0"
"35-44 years","1997-1998","20.1","18.2","22.2"
"35-44 years","1998-1999","23.1","21.0","25.3"
"35-44 years","1999-2000","21.4","19.4","23.6"
"35-44 years","2000-2001","16.7","15.0","18.6"
"35-44 years","2001-2002","11.4","10.0","13.0"
"35-44 years","2002-2003","10.8","9.4","12.4"
"35-44 years","2003-2004","10.9","9.5","12.5"
"35-44 years","2004-2005","10.7","9.3","12.2"
"35-44 years","2005-2006","11.0","9.5","12.5"
"35-44 years","2006-2007","11.1","9.7","12.7"
"35-44 years","2007-2008","12.9","11.4","14.6"
"35-44 years","2008-2009","14.0","12.4","15.8"
"35-44 years","2009-2010","13.3","11.8","15.0"
"35-44 years","2010-2011","13.3","11.8","15.0"
"35-44 years","2011-2012","15.4","13.7","17.2"
"35-44 years","2012-2013","18.0","16.2","19.9"
"35-44 years","2013-2014","21.2","19.3","23.3"
"35-44 years","2014-2015","23.9","21.8","26.1"
"35-44 years","2015-2016","23.8","21.7","26.0"
"35-44 years","2016-2017","25.4","23.2","27.6"
"35-44 years","2017-2018","25.0","22.9","27.3"
"35-44 years","2018-2019","22.3","20.3","24.4"
"45-54 years","1997-1998","8.8","7.5","10.4"
"45-54 years","1998-1999","10.4","8.9","12.0"
"45-54 years","1999-2000","9.2","7.8","10.7"
"45-54 years","2000-2001","8.1","6.8","9.6"
"45-54 years","2001-2002","8.6","7.3","10.1"
"45-54 years","2002-2003","8.4","7.1","9.9"
"45-54 years","2003-2004","8.0","6.8","9.5"
"45-54 years","2004-2005","8.8","7.5","10.3"
"45-54 years","2005-2006","10.5","9.1","12.1"
"45-54 years","2006-2007","11.7","10.2","13.4"
"45-54 years","2007-2008","13.0","11.4","14.7"
"45-54 years","2008-2009","13.2","11.7","15.0"
"45-54 years","2009-2010","14.6","13.0","16.4"
"45-54 years","2010-2011","15.7","14.0","17.5"
"45-54 years","2011-2012","17.0","15.2","18.9"
"45-54 years","2012-2013","17.9","16.1","19.9"
"45-54 years","2013-2014","20.2","18.2","22.3"
"45-54 years","2014-2015","22.5","20.4","24.7"
"45-54 years","2015-2016","23.0","20.9","25.2"
"45-54 years","2016-2017","26.8","24.6","29.2"
"45-54 years","2017-2018","26.7","24.4","29.0"
"45-54 years","2018-2019","25.6","23.4","27.9"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102990 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"Total drug deaths include all deaths where the ICD-10 codes listed are cited as either the underlying cause of death (i.e. drug-induced) or an associated cause of death (i.e. drug-related; and not drug-induced). This measures the burden related to drug use where the underlying cause may be directly or indirectly associated with drug use. Reports from other groups (including the Australian Bureau of Statistics) only include deaths directly associated with drug use."
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"The ABS undertake a revision process for coroner-certified deaths over a 3-year period. Accordingly, causes of death data for the two most recent years reported are preliminary and subject to two further revisions; data for the third most recent year are revised and subject to another revision; data for earlier years are final."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Dimensions/Variables"
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
