"Drug-induced and drug-related deaths by Drug death type and Age (years)"
"Drug death type","Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Drug-induced","15-24 years","1997-1998","12.6","11.0","14.4"
"Drug-induced","15-24 years","1998-1999","12.8","11.2","14.6"
"Drug-induced","15-24 years","1999-2000","11.1","9.6","12.8"
"Drug-induced","15-24 years","2000-2001","6.9","5.7","8.3"
"Drug-induced","15-24 years","2001-2002","3.4","2.6","4.3"
"Drug-induced","15-24 years","2002-2003","3.0","2.3","3.9"
"Drug-induced","15-24 years","2003-2004","3.0","2.2","3.9"
"Drug-induced","15-24 years","2004-2005","2.5","1.8","3.3"
"Drug-induced","15-24 years","2005-2006","2.6","2.0","3.5"
"Drug-induced","15-24 years","2006-2007","2.9","2.2","3.8"
"Drug-induced","15-24 years","2007-2008","2.8","2.1","3.6"
"Drug-induced","15-24 years","2008-2009","2.2","1.6","3.0"
"Drug-induced","15-24 years","2009-2010","2.5","1.8","3.3"
"Drug-induced","15-24 years","2010-2011","2.1","1.5","2.9"
"Drug-induced","15-24 years","2011-2012","2.2","1.6","3.0"
"Drug-induced","15-24 years","2012-2013","2.6","1.9","3.4"
"Drug-induced","15-24 years","2013-2014","2.1","1.5","2.8"
"Drug-induced","15-24 years","2014-2015","2.2","1.6","2.9"
"Drug-induced","15-24 years","2015-2016","2.8","2.1","3.6"
"Drug-induced","15-24 years","2016-2017","2.9","2.2","3.7"
"Drug-induced","15-24 years","2017-2018","2.2","1.6","3.0"
"Drug-induced","15-24 years","2018-2019","2.6","2.0","3.4"
"Drug-induced","25-34 years","1997-1998","20.2","18.3","22.3"
"Drug-induced","25-34 years","1998-1999","23.3","21.2","25.6"
"Drug-induced","25-34 years","1999-2000","19.5","17.6","21.6"
"Drug-induced","25-34 years","2000-2001","12.8","11.3","14.5"
"Drug-induced","25-34 years","2001-2002","9.9","8.5","11.4"
"Drug-induced","25-34 years","2002-2003","8.7","7.4","10.1"
"Drug-induced","25-34 years","2003-2004","9.0","7.7","10.5"
"Drug-induced","25-34 years","2004-2005","9.0","7.7","10.5"
"Drug-induced","25-34 years","2005-2006","7.7","6.5","9.0"
"Drug-induced","25-34 years","2006-2007","8.0","6.7","9.3"
"Drug-induced","25-34 years","2007-2008","8.9","7.6","10.4"
"Drug-induced","25-34 years","2008-2009","8.9","7.6","10.3"
"Drug-induced","25-34 years","2009-2010","8.9","7.7","10.3"
"Drug-induced","25-34 years","2010-2011","9.7","8.4","11.2"
"Drug-induced","25-34 years","2011-2012","9.3","8.0","10.7"
"Drug-induced","25-34 years","2012-2013","8.4","7.2","9.7"
"Drug-induced","25-34 years","2013-2014","8.4","7.2","9.7"
"Drug-induced","25-34 years","2014-2015","8.8","7.6","10.1"
"Drug-induced","25-34 years","2015-2016","8.7","7.6","10.1"
"Drug-induced","25-34 years","2016-2017","8.5","7.3","9.7"
"Drug-induced","25-34 years","2017-2018","6.9","5.9","8.0"
"Drug-induced","25-34 years","2018-2019","6.7","5.7","7.8"
"Drug-related","15-24 years","1997-1998","1.8","1.3","2.6"
"Drug-related","15-24 years","1998-1999","1.9","1.3","2.7"
"Drug-related","15-24 years","1999-2000","1.7","1.1","2.4"
"Drug-related","15-24 years","2000-2001","2.0","1.4","2.7"
"Drug-related","15-24 years","2001-2002","1.3","0.8","1.9"
"Drug-related","15-24 years","2002-2003","0.8","0.4","1.3"
"Drug-related","15-24 years","2003-2004","0.8","0.5","1.4"
"Drug-related","15-24 years","2004-2005","0.5","0.2","0.9"
"Drug-related","15-24 years","2005-2006","0.9","0.5","1.4"
"Drug-related","15-24 years","2006-2007","1.3","0.9","2.0"
"Drug-related","15-24 years","2007-2008","1.3","0.9","1.9"
"Drug-related","15-24 years","2008-2009","1.1","0.7","1.6"
"Drug-related","15-24 years","2009-2010","0.9","0.6","1.5"
"Drug-related","15-24 years","2010-2011","0.9","0.5","1.4"
"Drug-related","15-24 years","2011-2012","1.1","0.7","1.7"
"Drug-related","15-24 years","2012-2013","3.0","2.3","3.8"
"Drug-related","15-24 years","2013-2014","3.9","3.1","4.9"
"Drug-related","15-24 years","2014-2015","3.5","2.7","4.4"
"Drug-related","15-24 years","2015-2016","4.4","3.5","5.4"
"Drug-related","15-24 years","2016-2017","5.7","4.7","6.8"
"Drug-related","15-24 years","2017-2018","5.9","4.9","7.0"
"Drug-related","15-24 years","2018-2019","5.8","4.8","7.0"
"Drug-related","25-34 years","1997-1998","3.3","2.6","4.2"
"Drug-related","25-34 years","1998-1999","3.1","2.3","4.0"
"Drug-related","25-34 years","1999-2000","2.1","1.5","2.9"
"Drug-related","25-34 years","2000-2001","3.0","2.2","3.8"
"Drug-related","25-34 years","2001-2002","2.8","2.1","3.6"
"Drug-related","25-34 years","2002-2003","2.0","1.4","2.7"
"Drug-related","25-34 years","2003-2004","1.7","1.2","2.4"
"Drug-related","25-34 years","2004-2005","1.5","1.0","2.2"
"Drug-related","25-34 years","2005-2006","2.0","1.4","2.7"
"Drug-related","25-34 years","2006-2007","2.3","1.6","3.0"
"Drug-related","25-34 years","2007-2008","2.4","1.8","3.2"
"Drug-related","25-34 years","2008-2009","2.4","1.7","3.2"
"Drug-related","25-34 years","2009-2010","1.8","1.3","2.5"
"Drug-related","25-34 years","2010-2011","1.5","1.0","2.2"
"Drug-related","25-34 years","2011-2012","2.5","1.9","3.3"
"Drug-related","25-34 years","2012-2013","3.7","2.9","4.6"
"Drug-related","25-34 years","2013-2014","3.6","2.8","4.5"
"Drug-related","25-34 years","2014-2015","4.7","3.8","5.7"
"Drug-related","25-34 years","2015-2016","6.3","5.3","7.5"
"Drug-related","25-34 years","2016-2017","7.4","6.3","8.6"
"Drug-related","25-34 years","2017-2018","7.4","6.4","8.6"
"Drug-related","25-34 years","2018-2019","6.8","5.8","7.9"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102992 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"Total drug deaths include all deaths where the ICD-10 codes listed are cited as either the underlying cause of death (i.e. drug-induced) or an associated cause of death (i.e. drug-related; and not drug-induced). This measures the burden related to drug use where the underlying cause may be directly or indirectly associated with drug use. Reports from other groups (including the Australian Bureau of Statistics) only include deaths directly associated with drug use."
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"The ABS undertake a revision process for coroner-certified deaths over a 3-year period. Accordingly, causes of death data for the two most recent years reported are preliminary and subject to two further revisions; data for the third most recent year are revised and subject to another revision; data for earlier years are final."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Dimensions/Variables"
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009) or Statistical Area Level 2 of residence (2009 and after)."
