"Drug-induced and drug-related deaths by Drug death type and Age (years)"
"Drug death type","Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Drug-induced","15-24 years","1997-1998","12.6","11.0","14.4"
"Drug-induced","15-24 years","1998-1999","12.8","11.2","14.6"
"Drug-induced","15-24 years","1999-2000","11.1","9.6","12.8"
"Drug-induced","15-24 years","2000-2001","6.9","5.7","8.3"
"Drug-induced","15-24 years","2001-2002","3.4","2.6","4.3"
"Drug-induced","15-24 years","2002-2003","3.0","2.3","3.9"
"Drug-induced","15-24 years","2003-2004","3.0","2.2","3.9"
"Drug-induced","15-24 years","2004-2005","2.5","1.8","3.3"
"Drug-induced","15-24 years","2005-2006","2.6","2.0","3.5"
"Drug-induced","15-24 years","2006-2007","2.9","2.2","3.8"
"Drug-induced","15-24 years","2007-2008","2.8","2.1","3.6"
"Drug-induced","15-24 years","2008-2009","2.2","1.6","3.0"
"Drug-induced","15-24 years","2009-2010","2.5","1.8","3.3"
"Drug-induced","15-24 years","2010-2011","2.1","1.5","2.9"
"Drug-induced","15-24 years","2011-2012","2.2","1.6","3.0"
"Drug-induced","15-24 years","2012-2013","2.6","1.9","3.4"
"Drug-induced","15-24 years","2013-2014","2.1","1.5","2.8"
"Drug-induced","15-24 years","2014-2015","2.2","1.6","2.9"
"Drug-induced","15-24 years","2015-2016","2.8","2.1","3.6"
"Drug-induced","15-24 years","2016-2017","2.9","2.2","3.7"
"Drug-induced","15-24 years","2017-2018","2.2","1.6","3.0"
"Drug-induced","15-24 years","2018-2019","2.6","2.0","3.4"
"Drug-induced","25-34 years","1997-1998","20.2","18.3","22.3"
"Drug-induced","25-34 years","1998-1999","23.3","21.2","25.6"
"Drug-induced","25-34 years","1999-2000","19.5","17.6","21.6"
"Drug-induced","25-34 years","2000-2001","12.8","11.3","14.5"
"Drug-induced","25-34 years","2001-2002","9.9","8.5","11.4"
"Drug-induced","25-34 years","2002-2003","8.7","7.4","10.1"
"Drug-induced","25-34 years","2003-2004","9.0","7.7","10.5"
"Drug-induced","25-34 years","2004-2005","9.0","7.7","10.5"
"Drug-induced","25-34 years","2005-2006","7.7","6.5","9.0"
"Drug-induced","25-34 years","2006-2007","8.0","6.7","9.3"
"Drug-induced","25-34 years","2007-2008","8.9","7.6","10.4"
"Drug-induced","25-34 years","2008-2009","8.9","7.6","10.3"
"Drug-induced","25-34 years","2009-2010","8.9","7.7","10.3"
"Drug-induced","25-34 years","2010-2011","9.7","8.4","11.2"
"Drug-induced","25-34 years","2011-2012","9.3","8.0","10.7"
"Drug-induced","25-34 years","2012-2013","8.4","7.2","9.7"
"Drug-induced","25-34 years","2013-2014","8.4","7.2","9.7"
"Drug-induced","25-34 years","2014-2015","8.8","7.6","10.1"
"Drug-induced","25-34 years","2015-2016","8.7","7.6","10.1"
"Drug-induced","25-34 years","2016-2017","8.5","7.3","9.7"
"Drug-induced","25-34 years","2017-2018","6.9","5.9","8.0"
"Drug-induced","25-34 years","2018-2019","6.7","5.7","7.8"
"Drug-induced","35-44 years","1997-1998","17.5","15.7","19.5"
"Drug-induced","35-44 years","1998-1999","20.0","18.1","22.1"
"Drug-induced","35-44 years","1999-2000","18.8","16.9","20.8"
"Drug-induced","35-44 years","2000-2001","14.1","12.5","15.9"
"Drug-induced","35-44 years","2001-2002","9.2","7.9","10.6"
"Drug-induced","35-44 years","2002-2003","8.9","7.7","10.3"
"Drug-induced","35-44 years","2003-2004","8.9","7.6","10.3"
"Drug-induced","35-44 years","2004-2005","8.5","7.3","9.9"
"Drug-induced","35-44 years","2005-2006","8.9","7.7","10.4"
"Drug-induced","35-44 years","2006-2007","9.0","7.7","10.4"
"Drug-induced","35-44 years","2007-2008","10.4","9.0","11.9"
"Drug-induced","35-44 years","2008-2009","11.1","9.7","12.7"
"Drug-induced","35-44 years","2009-2010","10.3","8.9","11.8"
"Drug-induced","35-44 years","2010-2011","10.6","9.3","12.2"
"Drug-induced","35-44 years","2011-2012","12.1","10.6","13.7"
"Drug-induced","35-44 years","2012-2013","12.8","11.3","14.4"
"Drug-induced","35-44 years","2013-2014","14.5","12.9","16.3"
"Drug-induced","35-44 years","2014-2015","16.5","14.8","18.3"
"Drug-induced","35-44 years","2015-2016","15.0","13.4","16.8"
"Drug-induced","35-44 years","2016-2017","14.9","13.3","16.6"
"Drug-induced","35-44 years","2017-2018","14.4","12.8","16.1"
"Drug-induced","35-44 years","2018-2019","12.2","10.7","13.8"
"Drug-induced","45-54 years","1997-1998","7.1","5.8","8.5"
"Drug-induced","45-54 years","1998-1999","8.3","7.0","9.8"
"Drug-induced","45-54 years","1999-2000","7.4","6.2","8.8"
"Drug-induced","45-54 years","2000-2001","6.4","5.3","7.7"
"Drug-induced","45-54 years","2001-2002","6.6","5.5","7.9"
"Drug-induced","45-54 years","2002-2003","6.5","5.4","7.8"
"Drug-induced","45-54 years","2003-2004","6.4","5.3","7.7"
"Drug-induced","45-54 years","2004-2005","7.2","6.0","8.5"
"Drug-induced","45-54 years","2005-2006","8.0","6.8","9.5"
"Drug-induced","45-54 years","2006-2007","8.3","7.0","9.7"
"Drug-induced","45-54 years","2007-2008","9.2","7.9","10.7"
"Drug-induced","45-54 years","2008-2009","10.1","8.7","11.6"
"Drug-induced","45-54 years","2009-2010","11.3","9.9","12.9"
"Drug-induced","45-54 years","2010-2011","12.0","10.5","13.6"
"Drug-induced","45-54 years","2011-2012","13.2","11.6","14.9"
"Drug-induced","45-54 years","2012-2013","13.2","11.7","14.9"
"Drug-induced","45-54 years","2013-2014","12.9","11.4","14.6"
"Drug-induced","45-54 years","2014-2015","13.5","12.0","15.3"
"Drug-induced","45-54 years","2015-2016","14.9","13.2","16.7"
"Drug-induced","45-54 years","2016-2017","17.0","15.2","18.9"
"Drug-induced","45-54 years","2017-2018","15.6","13.9","17.5"
"Drug-induced","45-54 years","2018-2019","14.4","12.7","16.1"
"Drug-induced","55-64 years","1997-1998","3.9","2.8","5.2"
"Drug-induced","55-64 years","1998-1999","4.6","3.4","6.0"
"Drug-induced","55-64 years","1999-2000","4.8","3.7","6.3"
"Drug-induced","55-64 years","2000-2001","5.2","4.0","6.6"
"Drug-induced","55-64 years","2001-2002","5.2","4.0","6.6"
"Drug-induced","55-64 years","2002-2003","4.3","3.2","5.5"
"Drug-induced","55-64 years","2003-2004","3.5","2.5","4.6"
"Drug-induced","55-64 years","2004-2005","3.3","2.5","4.4"
"Drug-induced","55-64 years","2005-2006","3.3","2.5","4.4"
"Drug-induced","55-64 years","2006-2007","4.5","3.5","5.7"
"Drug-induced","55-64 years","2007-2008","5.4","4.3","6.7"
"Drug-induced","55-64 years","2008-2009","6.1","5.0","7.5"
"Drug-induced","55-64 years","2009-2010","6.5","5.3","7.8"
"Drug-induced","55-64 years","2010-2011","5.8","4.7","7.1"
"Drug-induced","55-64 years","2011-2012","7.0","5.8","8.4"
"Drug-induced","55-64 years","2012-2013","8.1","6.8","9.5"
"Drug-induced","55-64 years","2013-2014","8.3","7.0","9.8"
"Drug-induced","55-64 years","2014-2015","9.3","7.9","10.8"
"Drug-induced","55-64 years","2015-2016","9.6","8.2","11.2"
"Drug-induced","55-64 years","2016-2017","9.2","7.8","10.7"
"Drug-induced","55-64 years","2017-2018","10.0","8.6","11.5"
"Drug-induced","55-64 years","2018-2019","9.7","8.4","11.3"
"Drug-induced","65+ years","1997-1998","4.3","3.3","5.4"
"Drug-induced","65+ years","1998-1999","4.4","3.4","5.6"
"Drug-induced","65+ years","1999-2000","3.5","2.7","4.5"
"Drug-induced","65+ years","2000-2001","3.6","2.8","4.7"
"Drug-induced","65+ years","2001-2002","3.3","2.5","4.3"
"Drug-induced","65+ years","2002-2003","3.0","2.3","4.0"
"Drug-induced","65+ years","2003-2004","3.5","2.7","4.5"
"Drug-induced","65+ years","2004-2005","3.5","2.7","4.5"
"Drug-induced","65+ years","2005-2006","4.3","3.4","5.3"
"Drug-induced","65+ years","2006-2007","6.0","5.0","7.2"
"Drug-induced","65+ years","2007-2008","5.9","4.9","7.1"
"Drug-induced","65+ years","2008-2009","5.3","4.3","6.4"
"Drug-induced","65+ years","2009-2010","4.9","3.9","5.9"
"Drug-induced","65+ years","2010-2011","4.7","3.8","5.7"
"Drug-induced","65+ years","2011-2012","4.6","3.8","5.6"
"Drug-induced","65+ years","2012-2013","5.1","4.2","6.1"
"Drug-induced","65+ years","2013-2014","5.6","4.7","6.7"
"Drug-induced","65+ years","2014-2015","4.8","4.0","5.8"
"Drug-induced","65+ years","2015-2016","4.5","3.7","5.4"
"Drug-induced","65+ years","2016-2017","4.9","4.0","5.8"
"Drug-induced","65+ years","2017-2018","4.6","3.8","5.5"
"Drug-induced","65+ years","2018-2019","3.7","3.0","4.5"
"Drug-induced","All ages","1997-1998","9.3","8.8","9.9"
"Drug-induced","All ages","1998-1999","10.4","9.9","11.0"
"Drug-induced","All ages","1999-2000","9.2","8.7","9.8"
"Drug-induced","All ages","2000-2001","6.9","6.4","7.4"
"Drug-induced","All ages","2001-2002","5.2","4.8","5.6"
"Drug-induced","All ages","2002-2003","4.7","4.4","5.1"
"Drug-induced","All ages","2003-2004","4.8","4.4","5.2"
"Drug-induced","All ages","2004-2005","4.8","4.4","5.1"
"Drug-induced","All ages","2005-2006","4.9","4.5","5.3"
"Drug-induced","All ages","2006-2007","5.3","4.9","5.7"
"Drug-induced","All ages","2007-2008","5.8","5.4","6.2"
"Drug-induced","All ages","2008-2009","6.0","5.6","6.4"
"Drug-induced","All ages","2009-2010","6.0","5.6","6.4"
"Drug-induced","All ages","2010-2011","6.1","5.7","6.6"
"Drug-induced","All ages","2011-2012","6.6","6.2","7.0"
"Drug-induced","All ages","2012-2013","6.8","6.3","7.2"
"Drug-induced","All ages","2013-2014","7.0","6.6","7.4"
"Drug-induced","All ages","2014-2015","7.5","7.0","7.9"
"Drug-induced","All ages","2015-2016","7.5","7.1","7.9"
"Drug-induced","All ages","2016-2017","7.7","7.3","8.2"
"Drug-induced","All ages","2017-2018","7.2","6.8","7.6"
"Drug-induced","All ages","2018-2019","6.6","6.2","7.0"
"Drug-related","15-24 years","1997-1998","1.8","1.3","2.6"
"Drug-related","15-24 years","1998-1999","1.9","1.3","2.7"
"Drug-related","15-24 years","1999-2000","1.7","1.1","2.4"
"Drug-related","15-24 years","2000-2001","2.0","1.4","2.7"
"Drug-related","15-24 years","2001-2002","1.3","0.8","1.9"
"Drug-related","15-24 years","2002-2003","0.8","0.4","1.3"
"Drug-related","15-24 years","2003-2004","0.8","0.5","1.4"
"Drug-related","15-24 years","2004-2005","0.5","0.2","0.9"
"Drug-related","15-24 years","2005-2006","0.9","0.5","1.4"
"Drug-related","15-24 years","2006-2007","1.3","0.9","2.0"
"Drug-related","15-24 years","2007-2008","1.3","0.9","1.9"
"Drug-related","15-24 years","2008-2009","1.1","0.7","1.6"
"Drug-related","15-24 years","2009-2010","0.9","0.6","1.5"
"Drug-related","15-24 years","2010-2011","0.9","0.5","1.4"
"Drug-related","15-24 years","2011-2012","1.1","0.7","1.7"
"Drug-related","15-24 years","2012-2013","3.0","2.3","3.8"
