"Intentional self-harm hospitalisations by Age (years)"
"Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"10-14 years","01/02","29.9","25.1","35.4"
"10-14 years","02/03","27.4","22.8","32.6"
"10-14 years","03/04","38.3","32.8","44.4"
"10-14 years","04/05","39.7","34.1","45.9"
"10-14 years","05/06","45.8","39.8","52.5"
"10-14 years","06/07","33.4","28.2","39.2"
"10-14 years","07/08","30.4","25.5","36.0"
"10-14 years","08/09","32.5","27.4","38.2"
"10-14 years","09/10","35.0","29.7","40.9"
"10-14 years","10/11","29.4","24.6","34.9"
"10-14 years","11/12","33.7","28.5","39.6"
"10-14 years","12/13","60.7","53.7","68.4"
"10-14 years","13/14","47.8","41.6","54.6"
"10-14 years","14/15","54.9","48.3","62.3"
"10-14 years","15/16","64.0","56.9","71.9"
"10-14 years","16/17","73.7","66.0","81.9"
"10-14 years","17/18","61.0","54.1","68.5"
"10-14 years","18/19","57.3","50.7","64.4"
"10-14 years","19/20","55.3","48.9","62.2"
"15-19 years","01/02","134.3","123.8","145.6"
"15-19 years","02/03","135.8","125.2","147.0"
"15-19 years","03/04","161.5","149.9","173.7"
"15-19 years","04/05","178.2","166.0","191.0"
"15-19 years","05/06","185.5","173.1","198.5"
"15-19 years","06/07","172.5","160.6","185.0"
"15-19 years","07/08","166.9","155.3","179.1"
"15-19 years","08/09","157.0","145.8","168.8"
"15-19 years","09/10","182.2","170.1","194.9"
"15-19 years","10/11","183.3","171.2","196.1"
"15-19 years","11/12","209.1","196.1","222.7"
"15-19 years","12/13","265.1","250.5","280.4"
"15-19 years","13/14","281.9","266.8","297.6"
"15-19 years","14/15","263.7","249.1","278.9"
"15-19 years","15/16","286.2","271.0","302.0"
"15-19 years","16/17","300.4","284.9","316.5"
"15-19 years","17/18","272.9","258.1","288.3"
"15-19 years","18/19","260.5","246.1","275.4"
"15-19 years","19/20","267.0","252.4","282.1"
"20-24 years","01/02","129.5","119.0","140.7"
"20-24 years","02/03","132.9","122.4","144.2"
"20-24 years","03/04","142.7","131.8","154.2"
"20-24 years","04/05","135.7","125.2","146.9"
"20-24 years","05/06","131.8","121.5","142.7"
"20-24 years","06/07","156.7","145.5","168.5"
"20-24 years","07/08","143.2","132.7","154.4"
"20-24 years","08/09","134.1","124.1","144.8"
"20-24 years","09/10","144.8","134.5","155.8"
"20-24 years","10/11","134.3","124.3","144.8"
"20-24 years","11/12","147.2","136.8","158.3"
"20-24 years","12/13","153.3","142.7","164.5"
"20-24 years","13/14","179.0","167.5","190.9"
"20-24 years","14/15","195.3","183.4","207.7"
"20-24 years","15/16","196.9","185.1","209.3"
"20-24 years","16/17","190.7","179.2","202.7"
"20-24 years","17/18","192.4","180.9","204.4"
"20-24 years","18/19","190.9","179.6","202.7"
"20-24 years","19/20","195.8","184.3","207.9"
"25-34 years","01/02","129.3","122.2","136.7"
"25-34 years","02/03","118.0","111.3","125.1"
"25-34 years","03/04","118.0","111.2","125.1"
"25-34 years","04/05","118.4","111.6","125.5"
"25-34 years","05/06","129.6","122.4","137.0"
"25-34 years","06/07","138.6","131.2","146.2"
"25-34 years","07/08","135.1","127.8","142.6"
"25-34 years","08/09","124.6","117.7","131.8"
"25-34 years","09/10","121.9","115.2","129.0"
"25-34 years","10/11","113.6","107.1","120.3"
"25-34 years","11/12","116.5","110.0","123.3"
"25-34 years","12/13","122.6","116.0","129.5"
"25-34 years","13/14","123.2","116.7","130.0"
"25-34 years","14/15","124.1","117.6","130.9"
"25-34 years","15/16","132.0","125.4","138.8"
"25-34 years","16/17","135.5","128.9","142.4"
"25-34 years","17/18","114.0","108.0","120.2"
"25-34 years","18/19","108.7","102.9","114.8"
"25-34 years","19/20","113.0","107.1","119.1"
"35-44 years","01/02","109.7","103.4","116.4"
"35-44 years","02/03","106.6","100.3","113.2"
"35-44 years","03/04","110.9","104.4","117.7"
"35-44 years","04/05","99.0","92.9","105.5"
"35-44 years","05/06","114.6","108.0","121.5"
"35-44 years","06/07","128.2","121.3","135.5"
"35-44 years","07/08","131.0","124.0","138.3"
"35-44 years","08/09","121.7","115.0","128.8"
"35-44 years","09/10","127.0","120.1","134.2"
"35-44 years","10/11","120.4","113.7","127.3"
"35-44 years","11/12","122.1","115.4","129.1"
"35-44 years","12/13","122.7","116.0","129.8"
"35-44 years","13/14","126.1","119.3","133.2"
"35-44 years","14/15","138.8","131.7","146.2"
"35-44 years","15/16","131.5","124.6","138.7"
"35-44 years","16/17","129.0","122.2","136.1"
"35-44 years","17/18","111.3","105.0","117.9"
"35-44 years","18/19","101.8","95.8","108.0"
"35-44 years","19/20","91.6","86.0","97.5"
"45-64 years","01/02","53.5","49.8","57.3"
"45-64 years","02/03","59.9","56.1","63.9"
"45-64 years","03/04","59.9","56.1","63.9"
"45-64 years","04/05","63.5","59.6","67.5"
"45-64 years","05/06","70.8","66.8","75.1"
"45-64 years","06/07","70.6","66.6","74.8"
"45-64 years","07/08","73.2","69.1","77.4"
"45-64 years","08/09","70.6","66.7","74.7"
"45-64 years","09/10","76.4","72.3","80.7"
"45-64 years","10/11","72.7","68.7","76.8"
"45-64 years","11/12","79.6","75.4","83.9"
"45-64 years","12/13","91.2","86.8","95.8"
"45-64 years","13/14","94.4","89.9","99.0"
"45-64 years","14/15","96.8","92.2","101.5"
"45-64 years","15/16","97.9","93.4","102.6"
"45-64 years","16/17","98.1","93.6","102.8"
"45-64 years","17/18","87.1","82.9","91.5"
"45-64 years","18/19","82.6","78.5","86.9"
"45-64 years","19/20","73.3","69.5","77.3"
"65-74 years","01/02","30.3","25.5","35.8"
"65-74 years","02/03","27.0","22.5","32.2"
"65-74 years","03/04","25.2","20.8","30.2"
"65-74 years","04/05","31.2","26.4","36.8"
"65-74 years","05/06","28.2","23.6","33.4"
"65-74 years","06/07","32.3","27.4","37.8"
"65-74 years","07/08","30.7","26.0","36.0"
"65-74 years","08/09","30.9","26.3","36.2"
"65-74 years","09/10","24.8","20.8","29.4"
"65-74 years","10/11","31.2","26.7","36.2"
"65-74 years","11/12","33.4","28.9","38.5"
"65-74 years","12/13","36.0","31.4","41.2"
