"Suicide"
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Sydney LHD","2007","10.1","7.6","13.1"
"Sydney LHD","2008","5.9","4.1","8.4"
"Sydney LHD","2009","8.5","6.2","11.3"
"Sydney LHD","2010","12.7","9.9","15.9"
"Sydney LHD","2011","8.8","6.6","11.6"
"Sydney LHD","2012","7.3","5.2","9.8"
"Sydney LHD","2013","8.0","5.9","10.5"
"Sydney LHD","2014","10.7","8.2","13.6"
"Sydney LHD","2015","8.6","6.4","11.2"
"Sydney LHD","2016","6.8","5.0","9.2"
"Sydney LHD","2017","10.1","7.8","12.9"
"Sydney LHD","2018","9.2","7.1","11.8"
"Sydney LHD","2019","8.7","6.7","11.2"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"South Western Sydney LHD","2007","8.1","6.2","10.3"
"South Western Sydney LHD","2008","7.4","5.7","9.5"
"South Western Sydney LHD","2009","8.2","6.3","10.4"
"South Western Sydney LHD","2010","7.7","5.9","9.8"
"South Western Sydney LHD","2011","7.4","5.7","9.5"
"South Western Sydney LHD","2012","7.6","5.9","9.7"
"South Western Sydney LHD","2013","7.4","5.7","9.4"
"South Western Sydney LHD","2014","8.7","6.8","10.8"
"South Western Sydney LHD","2015","9.1","7.3","11.3"
"South Western Sydney LHD","2016","7.0","5.5","8.9"
"South Western Sydney LHD","2017","9.8","7.9","12.0"
"South Western Sydney LHD","2018","9.1","7.3","11.2"
"South Western Sydney LHD","2019","9.5","7.7","11.6"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"South Eastern Sydney LHD","2007","9.4","7.5","11.7"
"South Eastern Sydney LHD","2008","8.1","6.2","10.2"
"South Eastern Sydney LHD","2009","7.6","5.9","9.7"
"South Eastern Sydney LHD","2010","7.5","5.8","9.6"
"South Eastern Sydney LHD","2011","7.8","6.1","9.8"
"South Eastern Sydney LHD","2012","7.8","6.1","9.9"
"South Eastern Sydney LHD","2013","9.1","7.3","11.4"
