Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,99.930000,100.480003,99.589996,100.339996,96.534760,1824143
2021-09-22,99.730003,100.480003,99.510002,99.639999,95.861305,1814722
2021-09-23,100.419998,101.230003,100.139999,100.800003,96.977318,1811104
2021-09-24,101.500000,101.760002,100.800003,101.699997,97.843178,1852521
2021-09-27,102.290001,104.940002,102.000000,104.589996,100.623581,4102986
2021-09-28,105.000000,105.940002,103.879997,104.000000,100.055962,3966023
2021-09-29,103.489998,103.879997,101.849998,102.620003,98.728302,4789117
2021-09-30,104.000000,104.459999,103.330002,104.330002,100.373444,5580253
2021-10-01,102.000000,103.070000,99.620003,100.080002,96.284622,6047430
2021-10-04,102.760002,105.629997,102.470001,105.160004,101.171974,10273487
2021-10-05,104.790001,106.269997,104.209999,105.500000,101.499069,5578795
2021-10-06,104.599998,104.690002,102.389999,103.419998,99.497955,8996170
2021-10-07,103.870003,104.000000,102.699997,103.410004,99.488335,3551947
2021-10-08,103.699997,104.449997,102.930000,104.449997,100.488892,8012331
2021-10-11,104.010002,104.959999,103.500000,104.690002,100.719795,2335810
2021-10-12,103.650002,105.199997,103.650002,104.889999,100.912209,3707945
2021-10-13,104.639999,104.889999,103.040001,103.220001,99.305542,2906039
2021-10-14,103.410004,103.440002,101.910004,101.910004,98.045227,2358452
2021-10-15,102.269997,102.449997,101.519997,102.279999,98.401192,1712117
2021-10-18,102.550003,104.150002,102.550003,103.940002,99.998245,2328844
2021-10-19,103.940002,104.449997,103.620003,103.889999,99.950134,1590707
2021-10-20,104.360001,105.180000,104.150002,105.029999,101.046898,2504461
2021-10-21,105.029999,105.279999,104.559998,104.949997,100.969925,2364710
2021-10-22,104.510002,104.970001,103.930000,104.879997,100.902580,2794987
2021-10-25,105.000000,105.930000,104.980003,105.459999,101.460594,1352099
2021-10-26,105.550003,106.000000,104.980003,105.099998,101.114250,1398841
2021-10-27,105.040001,106.110001,104.879997,106.099998,102.076324,1831998
2021-10-28,105.989998,106.860001,105.570000,106.860001,102.807503,2271484
2021-10-29,107.000000,107.199997,104.169998,104.680000,100.710175,3024922
2021-11-01,105.680000,106.400002,104.750000,106.290001,102.259117,2767296
2021-11-02,106.320000,106.550003,105.070000,105.760002,101.749214,1628086
2021-11-03,106.519997,107.260002,106.129997,107.000000,102.942192,1829800
2021-11-04,107.250000,108.500000,107.199997,108.500000,104.385307,1833682
2021-11-05,108.500000,109.949997,108.489998,109.709999,105.549416,2419455
2021-11-08,110.000000,110.190002,109.269997,110.129997,105.953491,1514479
2021-11-09,109.849998,109.849998,108.730003,108.809998,104.683548,1589464
2021-11-10,109.000000,109.940002,108.669998,108.910004,104.779755,1474499
2021-11-11,109.010002,109.180000,106.430000,107.169998,103.105743,2093965
2021-11-12,107.309998,108.400002,106.699997,108.120003,104.019722,1646144
2021-11-15,108.029999,108.110001,107.400002,108.010002,103.913887,1515787
2021-11-16,107.500000,107.970001,107.059998,107.680000,103.596397,2426125
2021-11-17,103.300003,103.300003,98.629997,98.989998,95.235954,8337211
2021-11-18,99.000000,99.129997,97.459999,97.459999,93.763977,5120941
2021-11-19,97.730003,98.709999,97.500000,97.809998,94.100708,3532584
2021-11-22,97.820000,97.989998,95.650002,95.800003,92.166939,2513854
2021-11-23,96.150002,97.364998,96.150002,96.820000,93.148247,2387557
2021-11-24,97.199997,98.330002,96.510002,97.180000,93.494598,2809339
2021-11-25,96.870003,97.059998,95.669998,95.769997,92.138069,2580435
2021-11-26,95.800003,96.360001,94.220001,94.809998,91.214470,3048649
2021-11-29,93.169998,94.580002,92.959999,93.779999,90.223541,3307834
2021-11-30,94.559998,94.989998,93.160004,93.180000,89.646294,6085030
2021-12-01,92.599998,94.040001,92.379997,93.879997,90.319740,2498623
2021-12-02,93.000000,96.040001,93.000000,95.900002,92.263138,2980988
